,track_id,artists,track_name
56137,65mavBQC23K0lwptINTQSc,Justin Bieber,Ghost
70316,6FU9JW6Ghz3XbvOzowdfyA,Wasted Glitter,On The Highway
43352,5hNKeOLajiltMKPYuBGP0a,Alphaxone;Dronny Darko,Approaching
63126,2nnPeoDFZh7RkNE7mPX0Xu,Zhanna Bichevskaya,Pobeda budet za nami
17782,2aCgiP57lOLiakV0EpZH4v,Omar S,Simply
43351,24uefr9MOunilKf8GJcYN6,Alphaxone;protoU,Delusions of Omniscience
17762,5HyRUbrU8qNrrgh1dFzKtK,Ryan Elliott,Kicking Up
63132,1mhSD2bznRpqfGtutowUnN,Zhanna Bichevskaya,"Bozhe, tsarja khrani"
17765,6R473LH1ND9OCsknfIQaap,Fanon Flowers,Hunt Patterns 6
63131,3iXckjcziBevm1gZSBU3EK,Zhanna Bichevskaya,Rodnik
70314,3ZBJMy7ICSqGfwQivSjqZo,wavcrush,brake down
70310,3c8q7KLdbd1mGZdwKePixU,wavcrush,movies
70321,4qnHUTwKMqRDSN5honTKBq,"Sarah, the Illstrumentalist",Fluorite
70325,0Sk0DKvQmUrQXp6b1V00iu,Justnormal,A Love Waltz
43364,0BhIaqQwmn9mbG9pCuIMDs,Alphaxone,Hollow Lands
17730,6IGh49YdNDeMne7WnmMz6b,Fabrice Lig,Preface
2450,7raJbk0uG31gczoFR5KOpg,Moliy,Freak
17817,5pLcVrHtA4bWr5goYCy87n,Aux 88,We Are The Future
11606,0GodWGFGHNw6sh4Y95jmJM,Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner,"Symphony No. 22 in C, K.162: 3. Presto assai"
43407,02YubixxXSYIBLlP8EyIJf,From The Vastland,Spanjaroush (Bonus Track)
43349,0Ya0PNkjjqAp8dvgnkPPJC,Alphaxone,Experience
43383,13tBiz5lPt3DErMwVF3pVi,Saeed Dehghan;Rez,Beyond
43380,5jJKSuGdDgWNnJG3et4cVY,From The Vastland,"Taurvi, the Archdemon"
43350,6UjGHrvy8Ajboi3POTl5sN,Alphaxone,Compression
70270,6T5HaAjfdfuWtoEE3haiZt,Justnormal,Po' Prayer (Lofi Version)
63115,0BCWrrTUDqyo5BbCuICnIs,Olga Voronets,Sladka jagoda
17805,5nQgwLQdV7QeZDM6jsGxVh,Jeff Mills,See This Way - Blue Potential Version
17735,5nbzKvgIce1rcYlyuuT9ef,Basic Bastard,Cruising
17803,1GjMLMBfKtb5dEbSQeCerg,Jeff Mills,The Only Way Out
43367,37ymOwFRpmBblXuIV4CtZU,Siavash Amini;Eugene Thacker,Smoldering Stars (For Giacomo Leopardi)
17801,1zaevA0tF8Sk0I1S6d3XqJ,Jeff Mills,Flying Machines
43365,6jvjrL3XFkekryBLPnWeMw,Alphaxone,Ocean Grooves
17740,1V91QO0fg2tu2C2KskUt4g,ONYVAA;Mattia Trani,Utopia
11708,34YA9icwuDtmMtqdy5q174,Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner,"Symphony No. 5 in B flat, K.22: 3. Allegro molto"
63140,3P0X3hU3NF6Hj5TL6z8OPR,Rashid Beibutov,Chopan Ghara
49978,33rDXMMp4yh6WNHQAmUUWF,Fight The Fade,Monster
43310,7J2HxoLdk0rxfeVDp7MU9f,Arsames,Persepolis
17674,4dsrORS4lSE4HWr1WzcVkw,K-Hand,Boiler
17697,6TrVO3MAU7oBcv46vVM912,DJ 3000,Just Work It - Instrumental Mix
43311,2WBqBvlsAmSGbp9AkRas3T,Alphaxone;protoU,Regenesis
57998,4RrmeWgTjkQg6ZzDl6nFdT,AVIRA;CAPS,Falling Behind
17664,0uKgVfetN2fQ0McrKxAb6C,K-Hand,Dance
